Spec.1	Spec.2	Spec.3	Spec.4	Spec.5	Spec.6	Spec.7	Spec.8	Spec.9	Spec.10	Spec.11	Spec.12
Site1	25	10	0	0	0	4	0	60	12	45	57	4
Site2	0	2	0	0	0	30	1	1	15	37	65	9
Site3	15	20	2	2	0	9	1	29	18	45	66	1
Site4	2	6	0	1	0	24	1	7	29	94	86	25
Site5	1	20	0	2	0	9	1	2	135	76	91	17
Site6	0	6	0	6	0	6	0	11	27	24	63	34
Site7	2	7	0	12	0	16	1	30	89	105	118	16
Site8	0	11	0	0	0	7	55	2	2	1	30	3
Site9	1	1	0	0	0	0	0	26	1	1	2	0
Site10	3	0	1	0	0	0	0	22	0	0	1	0
Site11	15	1	2	0	0	1	0	95	0	1	4	0
Site12	16	13	0	0	0	0	0	96	1	8	13	0
Site13	3	43	1	2	0	18	1	24	53	72	97	22
Site14	0	2	0	1	0	4	3	14	15	72	94	32
Site15	0	0	0	0	0	0	6	0	0	0	25	3
Site16	0	3	0	0	0	0	6	0	2	0	28	4
Site17	0	0	0	0	0	0	2	0	0	0	23	2
Site18	0	1	0	0	0	0	5	0	0	0	25	0
Site19	0	1	0	0	0	0	12	0	1	0	22	3
Site20	0	2	0	0	0	0	13	0	0	0	22	2
Site21	0	1	0	0	0	0	16	1	0	1	18	2
Site22	7	0	16	0	4	0	0	2	0	0	1	0
Site23	17	0	15	0	7	0	2	6	0	0	1	0
Site24	11	0	20	0	5	0	0	3	0	0	0	0
Site25	9	1	9	0	0	2	1	11	6	0	16	6
Site26	3	0	6	0	18	0	0	0	0	0	1	0
Site27	29	0	11	0	4	0	0	1	0	0	0	0
Site28	15	0	14	0	1	0	0	6	0	0	2	0
