Water_content	Reflectance	Calamagrostis	Corynephorus
Site1	10.3	50	50	0
Site2	21.1	80	5	0
Site3	12.9	30	40	0
Site4	14.5	100	20	0
Site5	20.4	90	10	0
Site6	29.4	10	2	0
Site7	24.0	90	10	0
Site8	13.8	10	2	0
Site9	12.0	0	30	20
Site10	9.0	0	40	20
Site11	9.2	0	40	30
Site12	9.9	2	40	50
Site13	33.7	80	30	0
Site14	21.9	20	3	0
Site15	26.3	0	2	0
Site16	20.7	0	1	0
Site17	28.0	0	3	0
Site18	22.7	0	3	0
Site19	18.6	0	1	0
Site20	22.4	0	1	0
Site21	19.6	0	1	0
Site22	3.5	2	50	2
Site23	3.3	2	60	20
Site24	5.2	2	55	20
Site25	6.2	1	10	0
Site26	2.7	0	80	10
Site27	2.6	0	40	20
Site28	2.6	0	40	30
